videoId,title,duration,totalVideoPlayCount,trackedSince,lastPlay,sentiment,averageWordsOnScreenFirst10Seconds,maxWordsOnScreenFirst10Seconds,minWordsOnScreenFirst10Seconds,wordsFirst10Seconds,wordsPerSecondFirst10Seconds,totalVideoViews,averageShotChangesPer10Seconds,averageWordDurationFirst10Seconds,averageWordHeightPercentFirst10Seconds,averageWordWidthPercentFirst10Seconds,comprehendTopTenPhrases,description,shotChangesFirst10Secs,shotChangesFirst30Secs,totalVideoImpressions,totalSecondsViewed
facebook10155131927994205,This Is Why NFL Players Are Kneeling,258.11,3366364,2017-10-21T01:02:04.000Z,2018-06-04T20:55:24.000Z,NEUTRAL,11.54545455,15,6,37,3.7,1549997,1,2.8,7.837837838,8.513513514,"[""thatÂ’s"",""fbi"",""police brutality"",""kaepernick"",""country"",""americans"",""obama administration"",""black americans"",""america"",""flag""]","Hey Idiots, THIS IS WHY THEY KNEEL.",1,2,7032222,74339973.57
facebook10154746856159205,Millionaire Tells Millennials To Get Off Their Lazy Asses!,254.86,1918553,2017-06-15T02:00:00.000Z,2018-06-04T20:55:49.000Z,NEUTRAL,1,1,1,1,0.1,908196,2,2,10,5,"[""marcus"",""any job"",""camping world"",""home"",""summer break"",""job"",""monday"",""past few years"",""s***"",""night""]",Millionaire tells millennials to take a minimum wage job in order to afford housing and ignores the facts about our economy.,3,10,6102421,69977023.4
facebook10154795623289205,Viral NRA Ad Uses ISIS Tactics To Sell More Guns,356.587,2768180,2017-06-30T02:29:43.000Z,2018-06-04T20:55:48.000Z,NEGATIVE,3.111111111,6,1,10,1,1071378,3,2.2,14.5,17.5,"[""nra"",""america"",""muslims"",""trump"",""dana"",""video"",""2nd amendment"",""more guns"",""only way"",""left""]","This Viral National Rifle Association of America ad warns against â€œviolent left,â€ù attacks the 1st amendment then promotes a police state because gun sales are low and they desperately want you to buy more guns.",10,12,6180982,66916210.92
facebook10154410776394205,Hey Tomi Lahrenâ€‹ I Thought You Said Celebrity Snowflakes Sho...,323.155,2064789,2017-02-25T03:28:20.000Z,2018-06-04T20:55:44.000Z,NEGATIVE,6.090909091,7,6,8,0.8,1028329,2,8.3,6.875,9.375,"[""joy villa"",""hate"",""celebrities"",""ashton kutcher"",""tomi lahren"",""shailene woodley"",""trump"",""america"",""tomi"",""tomiprompter""]","Hey Tomi Lahren I Thought You Said Celebrity Snowflakes Shouldnt Talk Politics
Remind Us Again, Who Your Guest Was This Week?",0,6,7501346,66509602.01
facebook10155008400254205,Libertarian vs. Democrat Take On Why Ending DACA is Wrong,347.603,3336917,2017-09-06T02:31:00.000Z,2018-06-04T20:55:31.000Z,NEUTRAL,15.18181818,17,12,43,4.3,1210877,1,3.1,6.511627907,10.23255814,"[""daca"",""american"",""congress"",""us"",""hasan piker"",""twitter"",""instagram"",""trump"",""people"",""libertarian""]",Trumps decision to end DACA which will cost billions of dollars proves Republican hate for immigration has nothing to with jobs or taking back social programs and everything to do with racism. Even Libertarians agree.,1,1,6801150,66235362.65
facebook10154875776849205,Where Are Blue Lives Matter Now?,291.362,3310608,2017-07-22T20:35:20.000Z,2018-06-04T20:26:40.000Z,NEUTRAL,7.363636364,13,2,29,2.9,1210658,1,2,7.068965517,11.03448276,"[""philando castille"",""case"",""officers"",""michael brown"",""officer"",""justine damond"",""america"",""terrence crutcher"",""actions"",""betty shelby""]",Where Are Blue Lives Matter Now?,3,8,7036835,63800140.76
facebook10154138769114205,"Standing Rock Drone Footage Looks Bad, So Government Bans It",352.36,3154555,2016-11-30T22:00:02.000Z,2018-06-04T20:54:43.000Z,NEUTRAL,5,5,5,6,0.6,1532368,0,3.6,6.666666667,9.166666667,"[""cnn"",""america"",""drones"",""company"",""journalists"",""trump era"",""water"",""day"",""reason"",""day we""]",The US government is doing everything it can to sweep this whole Standing Rock thing under the rug.,0,1,11267972,63207831.8
facebook10153686408054205,Cop Tased Teen Into Brain Damage (VIDEO),599.676,141043,2016-06-09T21:00:00.000Z,2018-06-04T20:54:41.000Z,NEUTRAL,,,,0,,634424,0,,,,"[""car"",""kid"",""am i under"",""anything officer"",""police official"",""arrest"",""&gt;&gt;"",""heart"",""fbi"",""missouri""]",WARNING VERY GRAPHIC. A police official in Missouri tased a 17 year old man for 23 seconds. The taser caused the teen to go into cardiac arrest and suffer brain damage.,0,2,11824318,62079023.25
facebook10154840630879205,Death of Net Neutrality,321.687,3369672,2017-07-13T02:30:00.000Z,2018-06-04T20:54:57.000Z,NEUTRAL,1.714285714,2,1,4,0.4,1313058,2,2.2,8.75,11.25,"[""net neutrality"",""internet"",""china"",""instagram"",""fcc"",""netflix"",""ajit"",""isps"",""verizon"",""more money""]","Verizon, Comcast and Spectrum are the least liked companies in the US and now the Donald J. Trump Administration will allow them to destroy Net Neutrality. This is not a partisan issue because even the alt-right love a free internet. You can resist by sharing this and by going to www.gofccyourself.com",2,7,6671497,61747269.58
facebook10155167824359205,BOMBSHELL: Donna Brazile Admits DNC Rigged Primary Against Bernie,1078.931,1678038,2017-11-03T06:00:00.000Z,2018-05-12T20:38:50.000Z,NEGATIVE,5.818181818,8,4,14,1.4,693782,0,3.7,9.285714286,13.92857143,"[""dnc"",""hillary"",""donna brazile"",""hillary clinton"",""obama"",""party"",""debbie wasserman"",""money"",""republicans"",""and now""]",BOMBSHELL: Donna Brazile Admits DNC Rigged Primary Against Bernie Sanders,0,0,3515834,61276707.09
facebook10154787494344205,Joe Budden Needs to Let Millennial Rappers Live,329.953,1564250,2017-06-28T03:00:00.000Z,2018-06-04T20:55:48.000Z,NEUTRAL,2,2,2,2,0.2,641733,2,3,10,15,"[""joe budden"",""joe"",""migos"",""internet"",""label"",""millennials"",""cover"",""lil yatchy"",""following"",""little""]",This viral altercation between Joe Budden and Migos is the perfect representation of older generationsâ€™ attitude against millennials.,1,9,5740309,60898768.46
facebook10155333763299205,Cops Arrest 63 Black People At Party For A Little Bag Of Weed,411.859,2101358,2018-01-04T20:00:00.000Z,2018-06-04T20:55:39.000Z,NEGATIVE,3.636363636,4,3,9,0.9,978806,0,4.1,8.888888889,17.22222222,"[""georgia"",""marijuana"",""ounce"",""black"",""cartersville"",""story"",""people"",""drugs"",""beverly hills"",""cartersville, georgia""]",Cops arrest 63 black people at party for a little bag of weed.,0,1,4323283,60778849.48
facebook10154146814364205,BREAKING: Cop Who Murdered Walter Scott Walks Free,690.768,1971643,2016-12-03T05:00:00.000Z,2018-05-24T20:53:04.000Z,NEGATIVE,7.545454545,9,6,18,1.8,864450,0,4.2,10,18.88888889,"[""walter scott"",""life"",""my taser"",""country"",""video"",""michael"",""cop"",""standard"",""manslaughter"",""trial""]",BREAKING: Killer Cop who MURDERED Walter Scott walks free.,0,0,6856837,58804317.18
facebook10155330738704205,"Logan Paul Glorifies & Exploits Suicide, For Children To Watch",273.641,1618745,2018-01-03T04:00:00.000Z,2018-05-13T08:38:43.000Z,NEGATIVE,2.727272727,7,1,12,1.2,837943,1,2,13.75,15.41666667,"[""people"",""logan paul"",""person"",""suicide"",""Â”"",""guy"",""issue"",""japan"",""their own life"",""Â“""]", ,0,5,3576793,58440370.86
facebook10154859927574205,Rated-R Kelly,266.168,2256730,2017-07-18T02:28:04.000Z,2018-05-12T20:38:37.000Z,NEUTRAL,2.5,5,2,11,1.1,1044697,2,1.5,9.090909091,17.27272727,"[""r. kelly"",""women"",""bill cosby"",""r.kelly"",""kelly"",""man"",""story"",""law"",""his sexual misconduct"",""other men""]",R. Kelly got away with his sexual misconduct because his victims were black women and because he had enough money. Why do we continuously allow abusers to thrive?,2,4,5510595,58274319.14
facebook10154946550999205,How To Really Condemn A Nazi In Under 5 Minutes,293.779,2363374,2017-08-16T03:15:00.000Z,2018-06-04T20:55:58.000Z,NEUTRAL,13.81818182,18,10,23,2.3,1107463,2,6,10.43478261,11.95652174,"[""nazis"",""peter"",""nazi"",""check"",""left"",""instagram"",""pepto bismol"",""world"",""pepsi max"",""wolverine""]",How About We STOP Defending Nazis  + Start ROASTING Them,1,8,5779134,58082628.82
facebook10153552924729205,Bernie Fought Tax Havens While Hillary Lobbied For Them,596.472,16845,2016-04-06T22:00:00.000Z,2018-05-23T15:00:13.000Z,NEUTRAL,5.909090909,8,2,9,0.9,716756,0,7.4,8.333333333,15,"[""panama"",""hillary clinton"",""bernie sanders"",""offshore tax havens"",""people"",""u.s."",""colombia"",""us"",""free"",""direction""]","The Panama papers have shown that there is massive corruption worldwide, and itâ€™s even worse than we thought. Putin is implicated, the Prime Minister of Iceland was too.",0,0,8804485,57219953.89
facebook10153552898479205,"Hillary Takes Millions From Fossil Fuel Industry, Lies About It",1015.104,5611,2016-04-06T18:00:01.000Z,2018-06-04T20:55:35.000Z,NEGATIVE,2,2,2,2,0.2,533085,0,10,15,17.5,"[""hillary clinton"",""bernie sanders"",""washington"",""frank"",""clinton"",""washington post"",""greenpeace"",""ken starr"",""james carville"",""no evil""]","Hillary Clinton says sheâ€™s tired of Bernie Sandersâ€™s campaign lying about her. The only problem is heâ€™s not lying, she is.",0,1,4605161,56936159.9
facebook10155254306404205,The System FAILED A Child Sex Trafficking Victim + FAVORED A S...,262.462,2528985,2017-12-05T02:03:03.000Z,2018-05-13T08:39:27.000Z,NEUTRAL,9.363636364,21,6,34,3.4,1184603,1,2.4,8.823529412,14.41176471,"[""turner"",""cyntoia brown"",""brock turner"",""brown"",""child"",""side"",""justice system"",""life"",""sex trafficking victim"",""judge""]","How The System Treated Brock Turner vs Cyntoia Brown. 
#WhitePrivilege",2,6,5479240,56910285.14
facebook10154955635619205,ALL LIVES MATTER Has Always Been A Racist Group,302.931,2079332,2017-08-19T03:15:00.000Z,2018-06-04T20:55:57.000Z,NEUTRAL,13.36363636,15,11,38,3.8,846146,1,4,11.97368421,16.57894737,"[""charlottesville"",""black lives"",""america"",""matter"",""group"",""white lives"",""jews"",""all lives matter"",""black lives matter"",""Â“all lives""]","ALL LIVES MATTER Always Meant WHITE LIVES MATTER + Charlottesville Was Just Another Reminder
Subscribe to our YouTube channel https://goo.gl/fES1EU",2,7,4694600,55707669.89
facebook10153552893334205,"Trump Wants To Abolish The DEP, Which Doesnâ€™t Exist",262.592,27832,2016-04-06T17:00:00.000Z,2018-06-04T20:55:35.000Z,NEUTRAL,7.454545455,9,4,9,0.9,789428,0,8.3,5.555555556,11.66666667,"[""trump"",""donald trump"",""just trump"",""education"",""department"",""president"",""charles"",""environmental"",""said department"",""little bit""]","Donald Trump has been talking about how heâ€™s going to end waste, fraud, and abuse in government. Heâ€™s got a few agencies heâ€™d abolish completely, starting with the DEP. This should be a layup, considering there is no such thing and he just pulled random letters out of hisâ€_ wherever.",0,0,13072200,54472869.49
facebook10155315487584205,Company Sheds 1000 Jobs After Tax Cuts,580.393,2250332,2017-12-28T14:00:00.000Z,2018-06-04T20:56:14.000Z,NEUTRAL,4.090909091,6,1,11,1.1,929798,0,3.5,10,21.81818182,"[""at&t"",""donald trump"",""people"",""randall stephenson"",""tax cuts"",""corporation"",""$1000 per"",""trump"",""wonderful guy"",""regard""]", ,0,1,4694408,54004604.1
facebook10155103334964205,The Presidency Wastes Taxpayer Money Hating. Kaepernick Spends...,291.369,2726336,2017-10-10T01:46:18.000Z,2018-06-04T20:55:26.000Z,NEUTRAL,8.181818182,12,4,30,3,1181572,1,2.2,8.333333333,14.33333333,"[""america"",""pence"",""mike pence"",""indiana"",""colin kaepernick"",""kaepernick"",""trump"",""year"",""nazism"",""california""]",Mike Pence Wasted $300k HATING. Colin Kaepernick Has Spent $800k+ HELPING.,3,9,5527093,53837413.87
facebook10155095401364205,Tomi Lahren Constitution Lesson Debunked With Ease,219.134,2239980,2017-10-07T03:00:00.000Z,2018-06-04T20:55:26.000Z,NEUTRAL,6.909090909,10,6,13,1.3,1113609,2,4.9,7.307692308,10,"[""people"",""americans"",""constitution"",""tammy"",""week"",""fact"",""dubuque"",""twitter"",""puerto rico"",""philando castile""]","Tomi Lahren Gave A Constitution Lesson. We DESTROYED It In 4 Minutes. #Resist
Subscribe to our YouTube channel: https://goo.gl/a3JY9i",3,6,4888639,53384243.28
facebook10155068335464205,"Its About The Cause, The Issue Of Police Brutality",173.225,4321659,2017-09-27T02:45:00.000Z,2018-06-04T20:55:27.000Z,NEUTRAL,11.09090909,15,8,30,3,1694187,1,4.8,7.5,9.5,"[""colin kaepernick"",""answer"",""donald trump"",""americans"",""issue"",""police brutality"",""@francismmaxwell"",""black man"",""twitter"",""trump""]","IF THE PROTEST OUTRAGES YOU, BUT THE CAUSE DOESNT, YOU ARE THE PROBLEM.",2,3,8259866,51990527.72
facebook10154836912159205,Are Republicans The Real Snowflakes?,153.528,2500439,2017-07-12T00:00:00.000Z,2018-06-04T20:54:57.000Z,NEGATIVE,3.181818182,4,3,7,0.7,1178336,2,4.8,7.857142857,12.14285714,"[""donald trump"",""fact"",""america"",""republicans"",""trump"",""americans"",""presidency"",""hillary"",""hasan d parker"",""president""]","In this viral ad, Tomi Lahren whines about ""Snowflakes"" like the true conservative snowflake she is + SHARE if you think the real whiners are the republicans!",0,2,6336097,50735141.62
facebook10153507031804205,Bernie Sanders Giving The Establishment A Headache,637.06,7400,2016-03-22T22:30:00.000Z,2018-06-04T20:54:33.000Z,NEUTRAL,5.727272727,7,2,7,0.7,584069,0,8.5,8.571428571,15,"[""hillary clinton"",""bernie sanders"",""bernie"",""obama"",""us"",""notice"",""claire mccaskill"",""donald trump"",""hillary"",""shh""]",POLITICO has a new article about a dozen or so Democratic Senators trying to subtly tell Bernie Sanders to drop out of the race. Why donâ€™t they just say it? Itâ€™s all politics.,0,0,4906047,50393885.1
facebook10155246037139205,Fox News Hates Hip Hop,317.737,1167754,2017-12-03T04:00:00.000Z,2018-06-04T20:56:18.000Z,NEUTRAL,6.3,17,5,18,1.8,552616,1,2.8,6.388888889,6.111111111,"[""fox news"",""america"",""oâ€™reilly"",""ingraham"",""ted nugent"",""hip hop"",""jay z"",""african-americans"",""kendrick lamar"",""pepsi""]","Fox News hates JAY-Z, Kendrick Lamar, and anything to do with Hip hop music.",2,4,2522834,50163270.04
facebook10153528453574205,Trump Fan Gets 90-Day Sentence For Bomb Plot,471.711,52877,2016-03-28T21:00:00.000Z,2018-06-04T20:54:32.000Z,NEUTRAL,,,,0,,1058212,1,,,,"[""bomb"",""trump"",""by way"",""muslim"",""country"",""san bernardino"",""mass shooting"",""guy"",""death"",""people""]","A Donald J. Trump supporter received a ninety day jail sentence after he took a plea deal. After making multiple threats against muslims, authorities found a homemade bomb in his apartment.",0,0,7524777,50127092.76
facebook10154870267304205,Baltimore Police: Weâ€™re Fine With Planting Evidence,304.806,2162071,2017-07-21T03:15:00.000Z,2018-06-04T20:54:55.000Z,NEUTRAL,3.555555556,7,1,9,0.9,796549,2,2.8,12.22222222,17.77777778,"[""way"",""body cams"",""design"",""baltimore"",""system"",""police officers"",""citizens"",""baltimore police department"",""people"",""video""]",Baltimore PDâ€™s handling of officers who planted evidence in viral bodycam video shows exactly how broken our criminal justice system is.,1,4,4821158,49441050.21
facebook10154047997774205,Police Attack NoDAPL Protesters At Standing Rock,1136.405,1332073,2016-10-29T21:00:00.000Z,2018-06-04T20:54:47.000Z,NEUTRAL,3.090909091,9,1,9,0.9,578679,0,2.7,14.44444444,23.88888889,"[""north dakota"",""&gt;&gt;"",""pipeline"",""people"",""water"",""guns"",""companies"",""land"",""native americans"",""company""]",Police attack #NoDAPL protesters at Standing Rock,0,1,5270020,49266355.87
facebook10154747079194205,"158 Mass Shootings in America, Scalise Played His Part",315.441,1862550,2017-06-15T03:36:16.000Z,2018-05-12T02:40:24.000Z,NEUTRAL,5.777777778,9,2,13,1.3,781931,2,3.2,6.923076923,9.230769231,"[""steven scalise"",""america"",""guns"",""nra"",""trump"",""steve"",""tragedy"",""shot"",""bernie"",""republican""]","Treating the victims from the shooting today including Congressman Steve Scalise the way right wing media treated Justice for Eric Garner RIP and Justice For Michael Brown Jr. Hes a Republican with an A+ NRA rating who cosponsored and sponsored many gun bills, hes a casual white supremacist. Did he bring this about himself?",1,5,5757196,49079764.89
facebook10155071525564205,Trump Kicks Puerto Rico When Theyre Down,520.297,1667280,2017-09-28T18:00:00.000Z,2018-06-04T20:55:27.000Z,NEGATIVE,5.909090909,12,1,13,1.3,826830,0,4,10,25,"[""trump"",""people"",""april"",""americans"",""jones act"",""houston"",""florida"",""texas"",""person"",""eric trump""]",Trump Kicks Puerto Rico When Theyre Down,0,1,3499638,48202553.44
facebook10154993337014205,Tomi - Still Pretty Bad at Her Dream Job,225.577,1816138,2017-09-01T02:30:00.000Z,2018-05-13T08:38:36.000Z,NEUTRAL,13.54545455,16,8,43,4.3,837529,1,3,6.046511628,8.720930233,"[""fox news"",""tomi"",""hillary clinton"",""russia"",""tomi lahren"",""media"",""hillary"",""benghazi"",""blaze"",""white house""]",Tomi Lahrens BIG debut at Fox News with Sean Hannity reveals the sinister reason Republicans still bring up Benghazi and Clintonâ€™s Emails,2,3,4034790,47024832.7
facebook10153689741269205,Will Bernie Fans Vote For Hillary? (Poll RESULTS),213.25,689705,2016-06-10T15:30:00.000Z,2018-05-12T20:38:24.000Z,NEUTRAL,4,4,4,4,0.4,904086,0,10,10,16.25,"[""hillary"",""hillary clinton"",""donald trump"",""our audience"",""which way"",""jimmy dore"",""general election"",""poll"",""never hillary"",""could number""]",We asked you if youâ€™d vote for Hillary Clinton in the general election. The results are now in: no.,0,0,8031567,46849725.58
facebook10153515981989205,Fox Uses TYT Bernie Interview To Attack Hillary Clinton,399.172,10830,2016-03-25T16:00:01.000Z,2018-06-04T20:54:32.000Z,NEUTRAL,1,1,1,1,0.1,451781,0,4,20,15,"[""hillary clinton"",""bernie sanders"",""clinton"",""hillary"",""los angeles"",""kind"",""us"",""change"",""but"",""sanders""]","Fox News used clips from TYTâ€™s interview with presidential candidate, Bernie Sanders, to attack his opponent Hillary Clinton.",1,1,7910707,45670408.4
facebook10154065021179205,Who Is Cenk Uygur Voting For?,1157.559,874856,2016-11-04T16:00:00.000Z,2018-06-04T20:54:46.000Z,NEUTRAL,7.727272727,9,5,16,1.6,350103,0,4.8,9.375,16.25,"[""donald trump"",""hillary clinton"",""gary johnson"",""not going"",""george w. bush"",""trump"",""texas"",""us"",""guy"",""choice""]",Itâ€™s decision time. Cenk Uygur breaks down his choice for president.,0,0,2835118,45232250.91
facebook10154058667789205,Armed Fake Protester Planted By Oil Company,515.388,1661815,2016-11-02T20:00:00.000Z,2018-06-04T20:54:46.000Z,NEUTRAL,7.909090909,9,6,20,2,728400,0,4.1,10,17.5,"[""river"",""within miles"",""water protectors"",""and he"",""guy"",""kyle thompson"",""amy goodman"",""bandanna"",""dallas goldtooth"",""how come""]",A DAPL employee was discovered infiltrating protesters.,0,0,4060407,44557589
facebook10155065918454205,"Nobodyâ€™s Protesting the Flag, Idiots",298.707,2150901,2017-09-26T02:15:08.000Z,2018-05-13T08:38:32.000Z,NEGATIVE,16.90909091,21,13,49,4.9,774142,1,3.3,5.408163265,7.857142857,"[""trump"",""donald trump"",""american"",""athletes"",""police"",""whose streets"",""ni"",""kaepernick"",""country"",""twitter""]", ,1,5,4365411,43396332.67
facebook10154912630909205,Tomi Doesnâ€™t Understand How Healthcare Works,319.891,1460037,2017-08-04T02:33:00.000Z,2018-06-04T20:55:59.000Z,NEUTRAL,9.5,13,2,36,3.6,651469,2,1.9,5.416666667,7.083333333,"[""tomi"",""obamacare"",""chelsea"",""va"",""healthcare"",""americans"",""heritage foundation"",""government"",""kansas"",""president""]",Tomi Lahren admits she hates Obamacare to Chelsea Handler who still has a hard time owning her.,4,10,4134822,42854591.94
facebook10153755247184205,Tomi Lahren: Black Lives Matter Is New KKK,805.66,49478,2016-07-09T20:00:00.000Z,2018-05-24T02:54:02.000Z,NEUTRAL,3,3,3,3,0.3,418153,1,0.5,5,5,"[""dallas"",""&gt;&gt;"",""last night"",""and"",""people"",""target"",""social media"",""both sides"",""jesse jackson"",""state""]",Tomi Lahren says #BlackLivesMatter is the new KKK.,0,1,4197354,42765655.47
facebook10154405732959205,Swedish Politician Proposes Mandatory Paid Sex Breaks,309.148,1888320,2017-02-23T18:00:04.000Z,2018-06-04T20:55:44.000Z,POSITIVE,7.545454545,11,1,18,1.8,1013827,0,3.8,11.38888889,19.72222222,"[""sweden"",""day"",""sex"",""venezuela"",""and so"",""japan"",""middle"",""as americans"",""not bad"",""living""]",At what point do we all just move to Sweden?,0,0,4407465,42037616.89
facebook10155167713914205,Trump Turning On Jared Kushner?,411.987,720417,2017-11-03T15:00:00.000Z,2018-06-04T20:55:22.000Z,NEUTRAL,4.090909091,8,1,9,0.9,430171,0,4,14.44444444,23.33333333,"[""jared kushner"",""trump"",""donald trump"",""russia"",""part"",""trouble"",""ivanka"",""exits"",""mike flynn"",""james comey""]",Is there anyone Trump wonâ€™t throw under the bus?,0,0,1767780,41729960.97
facebook10153567230034205,Teacher FIRED For Having Fun On Vacation,271.834,7235,2016-04-12T21:00:00.000Z,2018-05-24T20:52:59.000Z,POSITIVE,5.888888889,7,1,8,0.8,449876,1,6.2,6.25,7.5,"[""barcelona"",""mexico"",""good"",""and she"",""teacher"",""vacationing"",""what people"",""internet"",""my work"",""what she""]",A 24-year-old teacher was forced to resign after a video of her vacationing went viral on the internet.,0,3,5488521,41150602.44
facebook10155150397374205,Impeachment Ad Triggers Fox News Fans,679.081,778887,2017-10-29T22:00:00.000Z,2018-06-04T20:55:23.000Z,NEGATIVE,3.181818182,4,1,9,0.9,396869,1,3.3,8.333333333,10.55555556,"[""trump"",""money"",""donald trump"",""north korea"",""barack obama"",""nuclear war"",""bubble"",""impeachment"",""so it"",""fox and friends""]",Fox & Friends viewers were livid over an ad than ran during the show.,0,3,1658042,38736125
facebook10154672059924205,"Trump and his Trumpets, Cucked by Saudis",309.868,1090732,2017-05-23T04:20:12.000Z,2018-06-04T20:56:01.000Z,NEUTRAL,2.7,5,1,8,0.8,486922,3,2.6,13.75,15.625,"[""trump"",""saudi arabia"",""islam"",""donald trump"",""toby keith"",""hillary"",""saudis"",""yemen"",""muslim"",""allah""]","After constantly rallying against Saudi Arabia, Donald J. Trump and his Trumpetâ€™s kiss the ring and sell the Kingdom a shitload of guns, touch mystical orbs and Bannon has a meltdown.",1,8,3200230,38457567.28
facebook10155121139949205,Trump Mocks Christians Who Voted For Him,456.126,796979,2017-10-17T17:00:00.000Z,2018-06-04T20:55:25.000Z,MIXED,4.909090909,7,3,14,1.4,375066,0,3,10.35714286,17.14285714,"[""donald trump"",""trump"",""mike pence"",""side"",""one"",""no idea"",""about gay rights"",""devastating"",""donald"",""about abortion""]",Trump Mocks Christians Who Voted For Him,0,1,1894954,38349798.28
facebook10154706413024205,The Real Reason Why Trump Hates The Environment,313.212,1548228,2017-06-03T04:00:00.000Z,2018-06-04T20:55:51.000Z,NEUTRAL,1.666666667,2,1,5,0.5,787439,3,2.2,9,10,"[""trump"",""bush"",""donald"",""us"",""climate change"",""rex tillerson"",""world"",""way"",""paris"",""pipeline""]",If Donald J. Trump really cared about jobs hed never pull out of the Paris agreement and invest in renewables.,4,8,3886541,38126332.52
facebook10153570223929205,OReilly Tries To Help Trump Win Black Voters. It Doesnt Go W...,650.458,54090,2016-04-13T17:00:04.000Z,2018-06-04T20:55:34.000Z,NEGATIVE,1.2,2,1,3,0.3,286270,0,3,5,1.666666667,"[""trump"",""jobs"",""hillary clinton"",""donald trump"",""land"",""bernie sanders"",""america"",""racist"",""china"",""reason""]","Bill OReilly had Donald J. Trump on to talk about the perception among African-American voters that Trump might be a bit of a racist. Quickly, the conversation itself got into some questionable racial territory.",0,1,4698624,37764829.38
facebook10155017669219205,Tomi Lahrens Ancestor Was Everything She Loves To HATE,249.235,1820798,2017-09-09T02:05:03.000Z,2018-06-04T20:55:30.000Z,NEUTRAL,13.54545455,20,9,31,3.1,738048,1,3.9,5.161290323,9.516129032,"[""tomi"",""tammi"",""north dakota"",""daca"",""week"",""tomi lahren"",""america"",""nation"",""toni"",""immigrants""]",Tomi Lahren Ancestor Was What She Calls ILLEGAL. Maybe Check Ancestry.com Before HATING On Immigrants Tammy!,3,9,4012723,37400000.58
facebook10155965696925891,U.S. of Awesome: Ruby Falls,138.217,5069340,2017-12-08T05:10:01.000Z,2018-06-04T20:22:44.000Z,NEUTRAL,,,,,,2040664,2,,,,"[""ruby falls"",""lookout mountain"",""rock city"",""lovers"",""chattanooga"",""light show"",""nacoochee"",""different tribes"",""tennessee"",""lore""]",Stand under the largest underground waterfall in the world.,2,6,8847030,36987281.58
facebook10155147853909205,Did Ellen Sexually Harass Katy Perry?,392.574,912631,2017-10-29T00:00:00.000Z,2018-06-04T20:55:23.000Z,NEGATIVE,6.090909091,9,1,16,1.6,522112,1,3.6,11.25,18.4375,"[""katy perry"",""michael rappaport"",""criticism"",""harvey weinstein"",""brooklyn bookworm"",""excuses"",""people"",""picture"",""be done"",""let me zig and zag""]",Did Ellen Sexually Harass Katy Perry?,0,0,1944644,36987169.08
facebook10154248538534205,Trump Owes BIG Money To Bank,386.889,1732014,2017-01-01T21:00:00.000Z,2018-06-04T20:55:52.000Z,NEGATIVE,3.636363636,6,1,13,1.3,890046,0,2.3,10.38461538,18.07692308,"[""donald trump"",""trump"",""deutsche bank"",""interest"",""him money"",""conflict"",""his interest rate"",""money"",""bank"",""our dime""]",A big conflict of interest is on the horizon for Trump. Will he get out of it?,0,1,3950254,36897177.6
facebook10155011149294205,Michael Bennett Highlights How Being Rich Does Not Solve Racism,204.329,1873668,2017-09-07T02:13:40.000Z,2018-06-04T20:55:32.000Z,NEUTRAL,7.090909091,8,7,8,0.8,703710,1,8.8,6.875,15.625,"[""michael bennett"",""colin kaepernick"",""racism"",""jason"",""america"",""issue"",""black americans"",""americans"",""mistreatment"",""barack obama""]",The Treatment Of Michael Bennett + How Being Rich Doesnt Solve Racism EXPLAINED In 3 Minutes,2,4,4101143,36514086.19
facebook10153913263439205,Rapist Brock Turner College Speaking Tour?,345.905,1784966,2016-09-10T01:00:00.000Z,2018-06-04T20:55:01.000Z,NEGATIVE,6,8,1,20,2,787058,0,2.4,10.25,18.25,"[""brock turner"",""not going"",""really bad message"",""dumpster"",""promiscuous"",""house"",""yesterday"",""huffington post about it"",""wait minute"",""about brock turner and how there are groups""]","Convicted rapist, Brock Turner, is rumored to be going on a college speaking tour.",0,1,4590596,36434827.5
facebook10154219205499205,Tomi Lahren Defends Kanye From Social Justice Warriors,534.196,664397,2016-12-22T15:01:17.000Z,2018-06-04T20:55:53.000Z,NEGATIVE,4.909090909,8,1,17,1.7,346054,0,2.6,11.17647059,25.29411765,"[""trump"",""donald trump"",""kanye"",""andrea bocelli"",""ted nugent"",""nothing wrong"",""they"",""and"",""bill"",""show""]",Tomi Lahren is mad that no one wants to perform at Donald J. Trumpâ€™s inauguration.,0,0,2098377,36039151.96
facebook10155510542154205,Police Brutally Beat Black Man For Jaywalking,748.286,889682,2018-03-09T17:00:00.000Z,2018-06-04T20:55:04.000Z,NEGATIVE,8,13,4,18,1.8,400517,0,4.5,8.611111111,17.22222222,"[""video"",""person"",""resisting officer"",""eric garner"",""traffic"",""funny"",""community"",""stop"",""north carolina"",""chris hickman""]",Police BRUTALLY beat black man for jaywalking...another day in America.,0,1,1317194,35252608.56
